palabra,freq,diario,por_noticia
película,141,clarin,0.10499
víctima,79,paginadoce,0.10491
viernes,79,paginadoce,0.10491
padre,74,perfil,0.10452
precio,105,todonoticias,0.10386
agua,139,clarin,0.1035
medida,73,perfil,0.10311
nivel,73,perfil,0.10311
denuncia,104,todonoticias,0.10287
cambio,138,clarin,0.10276
escuela,138,clarin,0.10276
fecha,65,telam,0.10269
plan,65,telam,0.10269
cosa,77,paginadoce,0.10226
ciudad,476,lanacion,0.10206
acuerdo,137,clarin,0.10201
usuario,103,todonoticias,0.10188
dinero,103,todonoticias,0.10188
espacio,7,diariodeleuco,0.10145
juicio,7,diariodeleuco,0.10145
periodismo,7,diariodeleuco,0.10145
renuncia,7,diariodeleuco,0.10145
noticias,7,diariodeleuco,0.10145
cárcel,7,diariodeleuco,0.10145
televisión,7,diariodeleuco,0.10145
Macri,7,diariodeleuco,0.10145
mismo,7,diariodeleuco,0.10145
senador,7,diariodeleuco,0.10145
Ruta,7,diariodeleuco,0.10145
Mirtha Legrand,7,diariodeleuco,0.10145
democracia,7,diariodeleuco,0.10145
plan,7,diariodeleuco,0.10145
Corte,7,diariodeleuco,0.10145
Moyano,7,diariodeleuco,0.10145
tipo,7,diariodeleuco,0.10145
riesgo,7,diariodeleuco,0.10145
libertad,7,diariodeleuco,0.10145
entrada,7,diariodeleuco,0.10145
mañana,7,diariodeleuco,0.10145
Sputnik,7,diariodeleuco,0.10145
Hospital Posadas,7,diariodeleuco,0.10145
peso,136,clarin,0.10127
serie,135,clarin,0.10052
Rosario,965,popular,0.10037
situación,71,perfil,0.10028
nivel,38,eldestape,0.1
hermano,75,paginadoce,0.0996
actividad,63,telam,0.09953
estadio,63,telam,0.09953
China,70,perfil,0.09887
sistema,70,perfil,0.09887
Brasil,70,perfil,0.09887
Buenos Aires,948,popular,0.09861
sistema,74,paginadoce,0.09827
nivel,1243,infobae,0.09823
zona,1240,infobae,0.09799
nivel,62,telam,0.09795
Fernández,62,telam,0.09795
salud,62,telam,0.09795
Ministerio,62,telam,0.09795
femicidio,62,telam,0.09795
febrero,79,ambito,0.09789
inversión,79,ambito,0.09789
México,37,eldestape,0.09737
historia,73,paginadoce,0.09695
Rosario,73,paginadoce,0.09695
Ministerio,73,paginadoce,0.09695
enfermedad,98,todonoticias,0.09693
red,130,clarin,0.0968
medio,129,clarin,0.09605
nivel,129,clarin,0.09605
mercado,68,perfil,0.09605
Buenos Aires,68,perfil,0.09605
